id,severity,cvss_score,cvss_vector,finding_type,title,description,impact,mitigation,replication_steps,host_detection_techniques,network_detection_techniques,references,finding_guidance,tags
38,High,9.0,,Network,SQL Injection,"<p>SQL injection is a vulnerability that occurs when an attacker has the ability to modify the SQL query an application uses. This can lead to unauthorized access to sensitive data, data manipulation, and other malicious activities.  In SQL injection attacks, the attacker exploits vulnerabilities in the application's input validation methods, allowing them to insert or manipulate SQL queries.</p>","<p>The team determined discovered that the TODO application did not have proper input validation, making the application susceptible to SQL injection. This vulnerability could potentially lead to data breaches, disclosure of sensitive information, and unauthorized modifications to the database.</p>","<p>To mitigate the risk of SQL injection, the following recommendations should be implemented:</p>
<ul>
<li>Input Validation: Implement server-side validation that ensures that user input is properly sanitized and contains the expected formats.</li>
<li>Parameterized Queries: Utilize parameterized queries or prepared statements instead of constructing the SQL queries with user input. This separates user input from the SQL query, making it difficult for attackers to inject malicious code.</li>
<li>Least Privilege Principle: Assign the minimum required permissions to the application's database user. </li>
</ul>",,,,"<ul>
<li>https://owasp.org/www-community/attacks/SQL_Injection</li>
<li>https://github.com/OWASP/CheatSheetSeries/blob/master/cheatsheets/Input_Validation_Cheat_Sheet.md</li>
</ul>",,
10,High,9.0,,Network,Unnecessary Workstation Permissions,"<p>Any authenticated user on the domain has local administrator access to TODO, without explicit privilege escalation techniques. With this access, any user can harvest local credentials or laterally move further through the corporate network.</p>","<p>Any user that’s able to authenticate to TODO can elevate to administrator access. This can be leveraged to pillage hashes or move laterally throughout the network. Internal Windows assets can be harvested and potentially used to leak sensitive information, allowing for the elevation of general domain privileges.</p>","<ul>
<li>Restrict permissions to the host, adhering to the principle of least privilege</li>
</ul>",,,,,,
42,High,8.1,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,Host,EternalBlue,"<p>EternalBlue is a remote code execution (RCE) exploit that was developed by the United States National Security Agency (NSA). It was leaked in 2017 and has been used in a number of high profile attacks.</p>
<p>EternalBlue exploits a vulnerability in the Microsoft Server Message Block (SMB) protocol, which is used by Windows computers to communicate with each other. The vulnerability allows an attacker to send a specially crafted packet to a vulnerable SMB server, which can then be used to execute arbitrary code on the server.</p>","<p>A malicious actor may be able to gain access to a system and perform remote code execution with administrative rights. In an AD environment, this can allow an attacker to gain a foothold on the environment and move to other machines.</p>
<p>In some cases, when this attack fail it can lead to the system crashing, which can take a critical system offline until an administrator is able to restart it.</p>","<p>The best way to protect against EternalBlue is to patch all vulnerable systems. Microsoft has released patches for all supported versions of Windows, as well as for other operating systems that use SMB. See the <a href=""https://learn.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010"">MS17-010</a> article for information on how to patch your systems.</p>",,"<p>This vulnerability can be detected by ensuring that the MS17-010 patch has been applied to a system. See the <span class=""italic""><a href=""https://support.microsoft.com/en-us/topic/how-to-verify-that-ms17-010-is-installed-f55d3f13-7a9c-688c-260b-477d0ec9f2c8"">How to verify that MS17-010 is installed</a></span> article by Microsoft for further information.</p>",,"<ul>
<li><a href=""https://nvd.nist.gov/vuln/detail/CVE-2017-0144"">https://nvd.nist.gov/vuln/detail/CVE-2017-0144</a></li>
<li><a href=""https://learn.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010"">https://learn.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010</a></li>
<li><a href=""https://support.sophos.com/support/s/article/KB-000038107?language=en_US"">https://support.sophos.com/support/s/article/KB-000038107?language=en_US</a></li>
</ul>",,"Remote,Lateral Movement"
44,High,8.0,,Host,Unauthenticated Information Disclosure Through LDAP Query,<p>An unauthenticated LDAP (Lightweight Directory Access Protocol) query vulnerability allows an attacker to retrieve sensitive personal information from an LDAP directory without the need for proper authentication. </p>,"<p>Using nmap scripts, GreatLakes-Team1 was able to execute an LDAP query which disclosed permissions, organizational units, full names, home addresses, email addresses, and usernames of many users on the corp.kkms.local domain. This is a high severity finding due to the disclosure of Personally Identifiable Information (PII). Additionally, using this information, a threat actor would be able to build a wordlist of users on the domain to conduct span campaigns, lockout accounts, and conduct spear phishing.</p>","<ul>
<li>Implement Proper Access Controls</li>
<li>Require Authentication for LDAP Queries</li>
<li>Data Masking and Redaction</li>
</ul>",,,,"<ul>
<li><a href=""https://csrc.nist.gov/pubs/sp/800/122/final"">https://csrc.nist.gov/pubs/sp/800/122/final</a></li>
<li><a href=""https://www.gsa.gov/reference/gsa-privacy-program/rules-and-policies-protecting-pii-privacy-act"">https://www.gsa.gov/reference/gsa-privacy-program/rules-and-policies-protecting-pii-privacy-act</a></li>
</ul>",,
27,High,8.0,,Network,Active Directory Certificate Services (ADCS) Domain Takeover,"<p>Due to misconfigurations in ADCS, any user in the domain could elevate their privileges to become a Domain Admin by enrolling a certificate. This level of access would allow anyone with a valid user account to have complete control over the domain.</p>","<p>While enumerating {{.client}}’s ADCS Server, the team found two default certificate templates that have insecure permissions. Template TODO allows domain users to control the subject of the certificate when enrolling. Using this template, malicious actors can set the subject to an administrative account, and receive a certificate representing them. This certificate can be abused to impersonate the privileged user. Template TODO allows domain users to enroll certificates without a proper purpose or with the ""Any Purpose"" which can be used to enroll certificates on behalf of other users and impersonate them using it. Both of these permissions are very dangerous and can lead to user impersonation.</p>
<p>TODO make sure the description matches</p>","<ul>
<li>TODO uncheck in the property sheet ""Subject Name"" the field ""Supply in the request""</li>
<li>TODO specify a specific purpose or “Extended Key Usage” value</li>
<li>Restrict permissions on certificate templates</li>
</ul>",,,,"<ul>
<li><a href=""https://posts.specterops.io/certified-pre-owned-d95910965cd2"">https://posts.specterops.io/certified-pre-owned-d95910965cd2</a></li>
<li><a href=""https://www.riskinsight-wavestone.com/en/2021/06/microsoft-adcs-abusing-pki-in-active-director%20y-environment/"">https://www.riskinsight-wavestone.com/en/2021/06/microsoft-adcs-abusing-pki-in-active-director y-environment/</a></li>
</ul>",,
12,High,8.0,,Network,Anonymous Access on PHPMyAdmin,"<p>If an attacker gains access to the PHP host, they can access the PHP management portal without credentials. This gives the attacker full permissions on the attached databases and web server.</p>","<p>By exploiting the target system the team was able to gain authenticated access to the PHP web host system, allowing us to access PHPMyAdmin on localhost. The page is not accessible remotely, however by accessing PHPMyAdmin from the local machine, we were able to access it without credentials. Although an attacker cannot gain access to the panel remotely, if they can get privileged access on the host system, they would be able to gain permissions and elevated privileges on the system.</p>","<ul>
<li>Enable login on PHPMyAdmin</li>
</ul>",,,,,,
11,High,8.0,,Network,Exposed Session Data,"<p>The TODO server sends back the passwords and account secret token of any user in the TODO system on an invalid login with a valid username. Any malicious actor that knows the username of a valid account can obtain full access to that user’s TODO account, effectively creating an opportunity for a user to bypass authentication with a valid username.</p>","<p>By sending a HTTP GET request with the username of a TODO account, the response returns the rewards account password and account secret. These credentials can be used to legitimately log in to the application, allowing more user enumeration, as well as manipulation of TODO.</p>","<ul>
<li>Modify web app code to not reply with the account password when a login was attempted</li>
</ul>",,,,,,
9,High,8.0,,Network,Lack of Network Segmentation,"<p>Due to a lack of network segmentation rules, an attacker can traverse from the TODO network to the TODO network, exposing TODO resources to TODO.</p>","<p>After compromise of the TODO, the team was able to reach the private TODO. This could allow for an attacker to access the internal corporate websites, customer data, and other private information from just a compromise of the public assets.</p>","<ul>
<li>Set firewall rules to deny communication between subnets</li>
</ul>",,,,"<ul>
<li>https://www.cyber.gov.au/acsc/view-all-content/publications/implementing-network-segm entation-and-segregation</li>
</ul>",,
41,High,8.0,,Network,Open Mail Relaying Allowed,"<p>This vulnerability allows unauthorized entities to use the mail server to send emails across {{.client}}'s domain from company email accounts without authentication. The exploitation of open mail relays not only facilitates the unauthorized use of {{.client}} resources but also opens the door for attackers to launch a variety of email-based attacks, such as spam campaigns, phishing, and distribution of malware.</p>","<p>{{.client}} had several mailing ports open unnecessarily that resulted in a large attack surface. Using telnet, the team was able to connect to smtp. This gave the team the ability to send emails to users within {{.client}}'s domain. Additionally, the team was able to send an impersonated email to a phishing target using the open mail relay without any authentication.</p>","<ul>
<li>Configure the mail server to allow relay only from trusted IP addresses or authenticated users </li>
<li>Enforce strong authentication mechanisms, such as SMTP authentication, to verify the legitimacy of users attempting to relay emails through the server</li>
</ul>",,,,"<ul>
<li>https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-45ver2.pdf</li>
</ul>",,
32,High,7.7,,Web,Stored Cross-Site Scripting (XSS),"<p>Stored XSS Vulnerability was found on the affected URLs. This allows an attacker to inject a script which gets stored in the application. When a victim navigates to the affected web page in a browser, the XSS payload will be served as part of the web page. This means that victims will inadvertently end-up executing the malicious script once the page is viewed in a browser.</p>","<p>The attacker-supplied code can perform a variety of actions, such as:</p>
<ul>
<li>stealing the victim's session token</li>
<li>(TODO - whatever else is relevant to add)</li>
</ul>",<p>Best way is to handle the input securely in both client-side and server-side code in a proper manner before it gets stored permanently on the web server - implementing data checks throughout the process of storing data permanently will improve safety.</p>,<p>TODO - add steps</p>,,,<p>https://owasp.org/www-community/attacks/xss/</p>,,
24,High,7.0,,Network,End of Life/ Out of Date Software,"<p>The team found various hosts running out of date/ end of life software. These versions are vulnerable to many public and common exploits, as well as any new exploits that are released in the future.</p>","<p>Through automated scanning, the team was able to identify out of date/ end of life services that are vulnerable to various exploits. Due to these software packages being so far past their most recent updates, there are several publicly available exploits. If an attacker were to exploit this, they may gain remote code execution, the ability to execute privilege escalation, or exfiltration of data.</p>","<ul>
<li>Update Windows server 2008 R2 and 2012 R2 to Windows 2019</li>
<li>Upgrade MySQL to the latest stable version</li>
</ul>",,,,"<ul>
<li>https://www.mysql.com/downloads/</li>
<li>https://learn.microsoft.com/en-us/windows-server/get-started/upgrade-overview</li>
<li>TODO</li>
</ul>",,
25,High,7.0,,Network,Excessive Number of Privileged Users,"<p>Due to the highly integrated nature of the Active Directory environment, and insecure configuration, the team was able to compromise the entirety of the domain. An excessive amount of privileged users creates more opportunity for domain compromise.</p>","<p>The team found nine different users that were members of the Domain Admins group. This excessive amount of Domain Admins users allowed the team to easily compromise the Domain Controller. After the compromise of the domain controller, the team was able to attack and pivot to all domain joined machines (see ADCS Takeover). With the large number of domain admin users, the attack surface is far greater than needs to be, violating common security guidelines.</p>","<ul>
<li>Reduce the number of users of the network with privileged access, specifically the Administrators Group</li>
<li>Enforce separation of duties so that no one employee is able to compromise the entire domain</li>
</ul>",,,,"<ul>
<li>https://www.cisa.gov/uscert/bsi/articles/knowledge/principles/least-privilege</li>
</ul>",,
22,High,7.0,,Network,MySQL Passwords in Cleartext,"<p>{{.client}}’s TODO system utilized a database that contained cleartext passwords of its users. Should a malicious actor gain access to the database, they can easily harm the functionality of all customer rewards accounts.</p>",<p>The team discovered a MySQL database using TODO to store information about {{.client}}’s TODO system. The team logged into the database’s root user with credentials as seen in TODO. From there we used a SELECT statement to access the “users” table that contained credentials. The passwords in the table were not encrypted and were listed in cleartext as shown in TODO.</p>,"<ul>
<li>Encrypt passwords in the database so that only password hashes are visible.</li>
<li>Utilize a stronger password policy based off of Appendix A.</li>
</ul>",,,,,,
18,High,7.0,,Web,Cross-Site Request Forgery,<p>Web applications that are vulnerable to CSRF are unable to distinguish between actions<br />requested by a user’s browser and actions the user intends to perform.</p>,<p>The team identified that the TODO application is vulnerable to CSRF. The following steps were taken to prove this concept: TODO</p>,"<ul>
<li>Enable CSRF protections using the application’s framework</li>
<li>Utilize a transaction identifier to prove interaction between the authenticated user and the application</li>
<li>require authentication for sensitive or administrative requests</li>
</ul>",,,,"<ul>
<li>https://cwe.mitre.org/data/definitions/352.html</li>
</ul>",,
35,High,7.0,,Web,Unrestricted File Upload,"<p>Missing proper validation of file to upload was found. The first step in many attacks is to get some code to the system to be attacked. Then the attack only needs to find a way to get the code executed. Using a file upload helps the attacker accomplish the first step.</p>
<p>The consequences of unrestricted file upload can vary, including complete system takeover, an overloaded file system or database, forwarding attacks to back-end systems, client-side attacks, or simple defacement. (The severity on the type of upload varies, but the fact that unrestricted upload exists at all is being assessed here).</p>","<p>Impact can vary depending on the action taken by the adversary. Generally speaking, can range from medium to high impact as the attacker could potentially escalate and introduce a reverse shell or perform a denial of service attack.</p>","<p>The file types allowed to be uploaded should be restricted to only those that are necessary for business functionality.</p>
<p>Never accept a filename and its extension directly without having a whitelist filter.</p>
<p>The application should perform filtering and content checking on any files which are uploaded to the server. Files should be thoroughly scanned and validated before being made available to other users. If in doubt, the file should be discarded. All the control characters and Unicode ones should be removed from the filenames and their extensions without any exception. Also, the special characters such as "";"", "":"", ""&gt;"", ""&lt;"", ""/"" ,""\"",<br />additional ""."", ""*"", ""%"", ""$"", and so on should be discarded as well. If it is applicable and there is no need to have Unicode characters, it is highly recommended to only accept Alpha-Numeric characters and only 1 dot as an input for the file name and the extension; in which the file name and also the extension should not be empty at all (regular expression: [a-zA-Z0-9]{1,200}\.[a-zA-Z0-9]{1,10}).</p>",<p>It is possible to upload files of any type to a server.</p>,,,<p>https://www.owasp.org/index.php/Unrestricted_File_Upload</p>,,
45,Medium,6.5,,Network,Improper Network Segmentation,"<p>Due to improper network segmentation, there are accessible servers on the guest network which can control critical infrastructure and potentially leak Personally Identifiable Information (PII).</p>","<p>On the 10.0.200.0/24 guest subnet, a threat actor could access the tram location tracker service and exploit the vulnerability specified in finding&lt;meow&gt; to stop all RAKMS people moving systems by authenticating as Admin which can impact business operations and potentially harm travellers. In addition to being able to access the Industrial Control System, the CANICLES server, which is vulnerable to unsanitized user input, can leak travellers nationality and citizenship status if exploited, which is considered exposure of Personally Identifiable Information. It us RAKMS best interest to move these servers to an appropriate subnet.</p>","<ul>
<li>Create new subnet for management services.</li>
<li>Move sensitive hosts off guest network</li>
</ul>",,,,"<ul>
<li>https://csrc.nist.gov/pubs/sp/800/215/final</li>
</ul>",,
21,Medium,6.0,,Network,Anonymous SMB Login,"<p>An SMB server found on the network allowed for anonymous login, allowing unauthenticated users to enumerate and view potentially sensitive internal files and documents.</p>","<p>Although no important files were found in the anonymously accessible shares, the server configurations allowed for the team to successfully connect to the SMB server. If there were to be sensitive data uploaded to these shares, a user with no credentials would be able to access and view them.</p>","<ul>
<li>Require domain authentication to interact with SMB</li>
</ul>",,,,"<ul>
<li>https://kb.itsystemlab.com/help/microsoft/how-to-disable-smb-log-in-possible-a nonymous/</li>
</ul>",,
28,Medium,6.0,,Web,HTTP Cleartext Credentials,"<p>The (TODO) web server, (although maybe configured to encrypt server-to-client communications), communications to the database on (TODO) and the web server were not encrypted.</p>
<p>The webserver located on (TODO) uses HTTP port (TODO). HTTP transmits sensitive information in clear text which can be sniffed out be an adversary. The unencrypted connection makes any credentials you type in available to read.</p>","<p>If the adversary were to perform a man in the middle attack, the user's credentials would be sent over plain text giving the adversary the login information.</p>","<p>Install a self-signed certificate the mitigate the possibility of an adversary doing a man in the middle HTTP attack.</p>
<p>Ideal configuration is the use of HTTPS which is secure transmission of HTTP - thus encrypting the communication while still providing authentication.</p>","<p>Utilize man in the middle software (Wireshark, Burpsuite, etc.) to intercept request headers after sending a login request.</p>",,,<p>https://attack.mitre.org/techniques/T1040/</p>,,
39,Medium,6.0,,Web,Insufficient User Input Sanitization,"<p>Website has hardcoded javascript sanitization that is used to limit user input to only accepted parameters; however, sanitization can be by passed by manipulating &lt;TO DO&gt; parameter.</p>","<p>Insufficient user input sanitization can lead to exploitation of Cross Site Scripting (XSS), Command Injection, Path Traversal, and SQL Injection (SQLI)</p>","<p>To prevent insufficient sanitization, have user input be validated on both client and server side which ensures input adheres to the expected format, length, and range. It is also of best interest to &lt;TO DO&gt; to implement whitelists which define acceptable input patterns and reject anything outside of these patterns.</p>",,,,,,
26,Medium,5.4,,Web,Missing API Security Headers,"<p>We were able to detect that the following API security headers are missing:<br />TODO<br />A CSP is an important standard by the W3C that is aimed to prevent a broad range of<br />content injection attacks such as cross-site scripting (XSS), data injection attacks, packet<br />sniffing attacks etc. It is a declarative policy that informs the user agent what are valid<br />sources to load resources from </p>","<ul>
<li>Missing Content-Type header means that this website could be at risk of a MIMEsniffing attacks.</li>
<li>Missing Strict Transport Security header means that the application fails to prevent<br />users from connecting to it over unencrypted connections. An attacker able to modify a legitimate user's network traffic could bypass the application's use of SSL/TLS encryption, and use the application as a platform for attacks against its users.</li>
</ul>","<p>The recommended configuration for API endpoints is: </p>
<p>Content-Security-Policy: default-src 'none';</p>
<p>frame-ancestors: 'none'</p>
<p>Strict-Transport-Security: max-age=63072000</p>
<p>X-Content-Type-Options: nosniff</p>
<p> </p>",,,,,,
